gene,stat_cell,lfc_cell,padj_cell,stat_tis,lfc_tis,padj_tis
Jmjd6,3.8024725104609,0.319968992283391,0.0103630843157995,3.93018233485508,0.226533929756743,0.000533803531102
Myo5a,-3.8019090815002,-0.282961253579185,0.0103630843157995,2.63507912488778,0.230879588863429,0.0275631343866859
Tpr,-3.79670646691525,-0.199945065534087,0.0104813910351653,-0.680383933217344,-0.0311134862643989,0.647818240764505
Borcs6,3.79388023093809,0.372411841657443,0.0104813910351653,2.3557938402927,0.149826611966846,0.0530204686527989
Gaa,-3.79384422540694,-0.322817477767232,0.0104813910351653,-6.67608248092042,-0.444792564700287,7.13087901904695e-10
Med9,3.79276573550757,0.366190408481889,0.0104813910351653,-3.78958780895353,-0.27545996874278,0.0008811824049934
4122401K19Rik,-3.79089051315818,-1.21061767763389,0.0104813910351653,2.86954806153601,1.09703802043918,0.0151844415686049
Vps13a,-3.79033826230062,-0.377874779440799,0.0104813910351653,-6.63277300001936,-0.461031007500824,9.28726720792727e-10
Pml,-3.78187076804617,-0.410985181526735,0.0107393480148435,-2.63578211559833,-0.235733384612504,0.0275161260072469
Fam204a,-3.7814351952345,-0.333009789556134,0.0107393480148435,-2.15297813997491,-0.259070980664417,0.0811478900808189
Pkm,3.7732542140836,0.213889643347685,0.0110347923252012,3.34399112236104,0.320216153837157,0.003867031208466
Ylpm1,-3.76386578256154,-0.23855432988683,0.0113908811848722,-4.83600860399463,-0.258805565041971,1.3560869719539e-05
Birc6,-3.76158379409867,-0.257323103451004,0.0113908811848722,5.07356706229469,0.259456210391004,4.52754109382958e-06
Ier5l,3.76110140923146,0.476916469604772,0.0113908811848722,2.50620330485753,0.33206716949015,0.0375458298550467
Ankrd37,3.75794014934107,0.60691609920075,0.0114716331503971,0.458266777187671,0.240957960774593,0.768744353835523
Snai1,3.74320314062302,0.475594907702356,0.0120988963089097,2.84303680337165,0.430360537193697,0.0162646499542391
Prrc2c,-3.73501069559287,-0.220182519752179,0.0122796323966374,-1.29709240244355,-0.0561987493136503,0.337941945021173
Chn2,3.73478195139316,0.61813534587169,0.0122796323966374,-0.276705617481309,-0.0559334476951617,0.864858684396616
Zup1,-3.73296135595001,-0.489536777300373,0.0122796323966374,2.58049811334287,0.190793064135763,0.0314899894647268
Dap,3.73254414305297,0.220025302939188,0.0122796323966374,5.41760971417489,0.3469508331984,8.59473042117165e-07
Fgf2,-3.72910588431842,-0.386924359547914,0.0122796323966374,-9.08713586610483,-1.25303812720818,1.29706210402487e-17
Sumo3,3.72895386682726,0.203353234429125,0.0122796323966374,0.200291579798694,0.0095035334283969,0.904355491988508
Nrep,3.7288901492145,0.251675858451332,0.0122796323966374,1.67849288734853,0.304453072996286,0.194403034649122
Fggy,-3.72730023730311,-0.373719762074424,0.0122796323966374,-4.53044708814251,-0.689904958508803,5.11913870531434e-05
ENSMUSG00000095041,-3.72701290152153,-0.238893992613458,0.0122796323966374,-0.527060053521038,-0.0640895205702463,0.729528705403939
Oas2,-3.72593652745144,-0.443606418742578,0.0122796323966374,1.069616982276,0.253385453067882,0.445491770590459
Pcolce,3.70778684556861,0.206264798218158,0.0131234813261446,3.20420794525306,0.431632085772771,0.0059138797283825
Phkg1,-3.70650245400023,-0.480005452458751,0.0131234813261446,-7.1741852514895,-1.27412361412586,2.7717897230774996e-11
Nsf,-3.7006482666832,-0.393306408557683,0.0133607744303201,-1.10176341883857,-0.0777573909406347,0.428997399099094
4632427E13Rik,-3.69739654015162,-0.432266197986677,0.0134636304813577,-0.555585884244652,-0.0481276417512745,0.714565811777829
Rab21,-3.69546989313254,-0.272156033894115,0.0134969302495465,4.7469173346372,0.265784318246677,2.01543972605623e-05
Srxn1,3.69090469635065,0.265123345871842,0.0136423730012799,8.294384943108,1.11756824179546,8.24850536847588e-15
Gbp7,-3.69016421002542,-0.244569432007676,0.0136423730012799,-1.73853084084319,-0.153806300757107,0.176143366697876
Eml5,-3.67804385183305,-0.718628172225485,0.0142158317629947,-2.0031566222456,-0.317585793938891,0.108837785482709
Supt20,-3.67711286427208,-0.389205347214708,0.0142158317629947,-2.5562828251701,-0.242205291603081,0.0333660607534271
Peg10,3.67382795727901,0.253187155145311,0.0142717323710266,-1.00405982096353,-0.302225955175066,0.477987207686224
Tbl2,3.6735707289984,0.317214401953609,0.0142717323710266,1.57344989822165,0.150269810450487,0.228787066583602
Rufy2,-3.67185292283221,-0.456773868719139,0.0142972481591209,-4.90445824801551,-0.413299827310996,9.91776470267199e-06
Lig1,-3.66870294292769,-0.332837984557546,0.0144035794571735,4.05616835613824,0.329777208521941,0.0003346584037776
Nrxn2,3.66508649845883,0.67531461310466,0.0145373879784445,1.1067086947089,0.218329053059179,0.426861205229599
Fyco1,-3.66021727113599,-0.298926637345659,0.0147445329489549,-7.61801220022203,-0.330437626753615,1.23228953098525e-12
Cdc14b,-3.65759499549546,-0.625659111360626,0.0148241951195022,0.160820006537778,0.0217192421601871,0.924549029055253
Hk1,3.64541349971101,0.332914895346904,0.0154696894959764,-0.314556619727799,-0.0329843511319463,0.84478148906651
Slfn9,-3.6437256597334,-0.976867469392074,0.0154970346149062,3.79864699458331,0.726175384149172,0.0008535513994661
Fam13a,-3.64182949049766,-0.200424063996101,0.0155373133456809,-4.80622009992638,-0.893885711237473,1.55680181249316e-05
Acvr1b,3.63889115441126,0.407875505129848,0.0156411661909147,0.848954862893384,0.0962161812661145,0.558994886807141
Ccdc88a,-3.63225644687027,-0.213710216211451,0.0159732782830905,6.1043494284151,0.388170732964029,2.11931430316125e-08
Sdc3,3.60590745287018,0.398248473792059,0.0176021327835048,6.28923424958301,0.644534993299496,7.190697990907641e-09
Mad2l1bp,3.60408627224241,0.540885563692776,0.0176431701882634,2.52040834915144,0.242275238216172,0.0363813048429312
Zfc3h1,-3.59765845550602,-0.314948360847254,0.0179237637723597,0.247547058184611,0.0147117443296819,0.880137773882499
Flna,3.59639614898862,0.251534009475212,0.0179237637723597,-0.860725893137133,-0.0678693845327763,0.55285373135357
Ccn2,3.59636401445676,0.946201187658649,0.0179237637723597,1.35467570622115,0.404466718488891,0.313084661104606
Jcad,-3.59145289775596,-0.349560904831402,0.0181812104286156,0.345190896979719,0.0321636571318439,0.829368048056258
Col1a2,3.58688254955323,0.208181537832891,0.0184182479547083,0.886909524867407,0.100897233679657,0.539677271660682
Blvrb,3.58385639233,0.284711608291528,0.018513817576099,4.59131589911576,0.376351516980851,3.95117945280509e-05
Tnfaip6,3.58315924718396,0.975034435402052,0.018513817576099,6.05693287920937,1.14800821572863,2.76652287511783e-08
Colgalt1,3.58098038032445,0.267161375149992,0.0185506209164283,4.15176670707553,0.24274196616587,0.0002323380532279
Vps13b,-3.58028739936948,-0.44072867946541,0.0185506209164283,-4.27157235731599,-0.286264682219677,0.0001457650971978
Kif21a,-3.57385803075979,-0.260009857489994,0.0188463441197615,-4.64887102457022,-0.334223765768494,3.07685811065297e-05
Bid,3.57381681682071,0.281895248944697,0.0188463441197615,-0.63667525228339,-0.0710155116588645,0.670221616807354
Gcc2,-3.56395292893758,-0.268743913690565,0.0194827408106438,-4.41044001143963,-0.206395198249241,8.35035928403781e-05
Huwe1,-3.56099093653044,-0.20460324429157,0.019617071890602,-3.83622904398108,-0.146165635499483,0.0007490163360076
Gadd45g,3.55923492551695,0.26358588995665,0.0196620758722219,2.00077254830173,0.430857945435924,0.109309312240216
Mitd1,-3.55781737194652,-0.311309210202241,0.0196821359197326,0.999493255388508,0.0731712372823341,0.480263407637483
1700025G04Rik,3.55345199032425,0.376253988060394,0.0199246879643174,1.90101780332993,0.285674904234271,0.131705055287713
Cmpk2,-3.55156754452322,-0.638285786348541,0.0199810402136141,0.681058084719265,0.106965289273582,0.647551814791172
Cp,-3.54502393585359,-0.200175155186996,0.020363898842659,0.375838922584011,0.0580772813272753,0.813768553109773
Gm49502,-3.54318527989032,-0.805308770861708,0.020363898842659,-1.45932138449561,-0.36674915022781,0.270683065470274
Cpsf2,-3.54316857358751,-0.30880030322804,0.020363898842659,-0.596225859650619,-0.0367798150067589,0.692449729482682
Mif,3.54112946743331,0.207211668151243,0.0204346062859869,4.85849658211744,0.430544018626236,1.22334225439157e-05
Ifi204,-3.53806157177335,-0.284306012672147,0.0205146202479801,2.77509518396943,0.311490185859283,0.0194046904766763
Zfp703,3.53786113402126,0.217620333127382,0.0205146202479801,0.0859753034360019,0.0114704232756466,0.959383157915541
