"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","logFC","gene_name","log2FoldChange_shrunk"
"Mthfsl",43.9453825426274,-0.222765869055949,0.121265601592111,-1.83700790769376,0.0662087280173977,0.148113206731457,-0.222765869055949,"Mthfsl",-0.171207601676972
"Slc52a2",54.8258578899799,-0.214603830781863,0.116833289250845,-1.83683804639877,0.0662338074434456,0.148150884302675,-0.214603830781863,"Slc52a2",-0.166817866555316
"Dnajb2",214.583890831645,-0.184943624016759,0.100709951826416,-1.83639869409857,0.0662987125786113,0.148277623033935,-0.184943624016759,"Dnajb2",-0.149897129480551
"Zbtb2",45.2798179909014,0.228293873438146,0.124329407510877,1.83620173222633,0.0663278265909763,0.148310735492389,0.228293873438146,"Zbtb2",0.174079536375934
"Qpctl",100.244024284754,0.185911360546807,0.101248600531776,1.83618696525549,0.0663300098021113,0.148310735492389,0.185911360546807,"Qpctl",0.150467927972826
"5730471H19Rik",15.494344336552,0.488804739923112,0.266241678281921,1.83594373006288,0.0663659792359881,0.148355133601138,0.488804739923112,"5730471H19Rik",0.265735928790258
"Etv3",262.186354748937,0.199443357780679,0.108632762740794,1.83594113551697,0.0663663630020435,0.148355133601138,0.199443357780679,"Etv3",0.158343318623317
"Tmie",35.7129311219531,0.461868838912836,0.251581111452871,1.83586452991467,0.0663776947603512,0.148362025346051,0.461868838912836,"Tmie",0.259423535964394
"Abcb8",131.56385992464,-0.185336901923096,0.10096567041654,-1.83564276014291,0.0664105086768601,0.148416924585239,-0.185336901923096,"Abcb8",-0.150110213741565
"Xpa",247.652474293194,-0.176645427978898,0.0962636039928579,-1.83501781204871,0.0665030503120456,0.148605275551305,-0.176645427978898,"Xpa",-0.144841058173654
"Cops5",407.000528751292,0.0995797635105297,0.0542804052798422,1.83454347839054,0.0665733600040574,0.148743907209065,0.0995797635105297,"Cops5",0.0911135614813369
