"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","logFC","gene_name"
"Ap3m2",183.227441183516,-0.82791671418932,0.0828553255471918,-9.99231743670797,1.64685791301753e-23,3.40300847768025e-21,-0.82791671418932,"Ap3m2"
"Tnfaip2",221.545627393586,1.02725724542124,0.102815870191317,9.9912323215253,1.66498802421807e-23,3.40300847768025e-21,1.02725724542124,"Tnfaip2"
"Megf8",135.611292791651,-0.739898683140834,0.0742048301052076,-9.97103129394416,2.04098440111163e-23,4.12462308296559e-21,-0.739898683140834,"Megf8"
"Gm50340",25.6316278775459,-1.59548514209524,0.160158936752886,-9.96188645131277,2.23775670402437e-23,4.47203245317581e-21,-1.59548514209524,"Gm50340"
"Gm53758",13.1072802597895,2.90541698612974,0.292634235249146,9.92849310216933,3.12949024256532e-23,6.18538587942636e-21,2.90541698612974,"Gm53758"
"Snrpn",61.4284055493166,-1.20794523729854,0.121702894634284,-9.92536160235469,3.22930084126928e-23,6.31328314468144e-21,-1.20794523729854,"Snrpn"
"Ift52",202.845786056374,-0.581829821423576,0.0587799329939898,-9.89844308742352,4.22805662339242e-23,8.17697058369205e-21,-0.581829821423576,"Ift52"
"Taf9b",107.167055096129,-0.856227511802799,0.0868164919048203,-9.86249839191279,6.05243065802732e-23,1.15807465760935e-20,-0.856227511802799,"Taf9b"
"Faap20",136.284992842929,-0.702262097017763,0.0713764497653231,-9.83884879854229,7.65820849281528e-23,1.44990039949237e-20,-0.702262097017763,"Faap20"
"Acsm3",60.3406273515071,-3.14110652814964,0.31972325143057,-9.8244544745966,8.83510775043106e-23,1.63882323351534e-20,-3.14110652814964,"Acsm3"
"Cenpu",37.3165977937199,3.29623425647111,0.335514457148603,9.82441795350466,8.83831055548695e-23,1.63882323351534e-20,3.29623425647111,"Cenpu"
"Mcpt4",176.273515109396,1.5743479984932,0.160350177059211,9.81818684186336,9.40193298065469e-23,1.72554251622505e-20,1.5743479984932,"Mcpt4"
"Map3k10",74.7547563900264,-0.955324611170861,0.0975300551193949,-9.79518170067029,1.18084915822547e-22,2.14532858180235e-20,-0.955324611170861,"Map3k10"
"Klhdc1",68.5609310402975,-1.39667200228537,0.142833116049237,-9.778348613524,1.39467454794024e-22,2.50846164192531e-20,-1.39667200228537,"Klhdc1"
"Atf3",99.4374586145149,1.85668156354649,0.189952402404284,9.77445686417185,1.44932589610305e-22,2.58094807597123e-20,1.85668156354649,"Atf3"
"Fcer1g",433.638517002934,0.855036262690805,0.087783504108753,9.74028402456479,2.02986215121959e-22,3.57932359331721e-20,0.855036262690805,"Fcer1g"
"Tafa5",40.6062396132625,-1.74406238470177,0.179136632358792,-9.73593374920986,2.11862884217378e-22,3.69957848110074e-20,-1.74406238470177,"Tafa5"
"Pxmp2",213.969968026126,-1.39130092194732,0.143061712405676,-9.72518012368009,2.35488245549472e-22,4.07258806197385e-20,-1.39130092194732,"Pxmp2"
"Kifbp",174.574843912691,-0.600756534668305,0.0619647423219389,-9.69513488084988,3.16219580613177e-22,5.41669083515105e-20,-0.600756534668305,"Kifbp"
"Coq2",142.095063298762,-0.70763948979274,0.0733521764929458,-9.64715054993349,5.05405428759589e-22,8.57568117138676e-20,-0.70763948979274,"Coq2"
"Atp6v0d2",144.456800997061,4.01413902634428,0.416418207032788,9.63968183559326,5.43561861133665e-22,9.13691928443935e-20,4.01413902634428,"Atp6v0d2"
"Rab7b",363.451015292567,0.862376977633325,0.0895178925040898,9.63357104942931,5.76890243771595e-22,9.60735918932955e-20,0.862376977633325,"Rab7b"
"Rhbdd2",191.48048242291,-0.725088535699865,0.0752785138559655,-9.63207824595496,5.85334653528378e-22,9.65855878748753e-20,-0.725088535699865,"Rhbdd2"
"Igsf6",119.151614323161,1.29346530387436,0.134783150695471,9.59663947014272,8.25934213738579e-22,1.3504775243911e-19,1.29346530387436,"Igsf6"
"P2rx4",383.798734796608,0.542696392249648,0.0566571088762288,9.57861075183354,9.83590138186592e-22,1.59377047075892e-19,0.542696392249648,"P2rx4"
"Gm6936",20.8990244812423,-2.57295640743149,0.268769675685265,-9.57309041978558,1.03756894759998e-21,1.66622456174403e-19,-2.57295640743149,"Gm6936"
"Prcp",194.12764053682,0.728048077400291,0.0765028876318128,9.51660911028854,1.7892208016146e-21,2.84786949892391e-19,0.728048077400291,"Prcp"
"Svop",6.65411894736165,6.50116322829584,0.683652055130762,9.50946198362903,1.91651155039076e-21,3.02371725836212e-19,6.50116322829584,"Svop"
"Sdsl",32.5338094784662,-2.31977820973383,0.244617268268251,-9.4832970139701,2.46372985803587e-21,3.85327349796811e-19,-2.31977820973383,"Sdsl"
"Nus1",429.320158605562,0.814442035394449,0.0859349531903564,9.47742455378268,2.60636311038206e-21,4.0412109399424e-19,0.814442035394449,"Nus1"
"Plcd1",111.413156076213,-0.975070973720912,0.10301270241472,-9.46554115040457,2.92044902026713e-21,4.48950393833544e-19,-0.975070973720912,"Plcd1"
"Gdf15",59.6050662771441,2.87741922020205,0.305609953910799,9.41533213621016,4.71589044455478e-21,7.18813606235274e-19,2.87741922020205,"Gdf15"
"Arhgap19",31.5161576545163,1.84727918018005,0.196231040418405,9.41379700296789,4.78530581838043e-21,7.23264793692357e-19,1.84727918018005,"Arhgap19"
