"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","logFC","gene_name","log2FoldChange_shrunk"
"Ces1f",288.110362022481,-3.8262524257697,0.30125325162939,-12.7011157724427,5.82926335924049e-37,2.05578687802548e-34,-3.8262524257697,"Ces1f",-3.73593250142769
"Tdrkh",50.2845766570374,-1.80581739778484,0.142211866815255,-12.698078143723,6.05996250105581e-37,2.09604779892288e-34,-1.80581739778484,"Tdrkh",-1.75668097389112
"Prkd1",149.208574090818,-1.73811120155901,0.137648399927202,-12.6271805736808,1.49540846605422e-36,5.07479559819832e-34,-1.73811120155901,"Prkd1",-1.69136901814517
"Rhbdd2",191.48048242291,-0.990836492477288,0.0791132358950435,-12.5242822047096,5.49865562294247e-36,1.83145963026376e-33,-0.990836492477288,"Rhbdd2",-0.977448517349129
"Bphl",145.028323069312,-0.998090972870421,0.0798692973329166,-12.4965538223043,7.79580875801289e-36,2.54937120584763e-33,-0.998090972870421,"Bphl",-0.984387380645825
"Tmem80",204.161980646375,-1.08658814120291,0.0870800744222394,-12.4780341359631,9.83858265472776e-36,3.10972668137511e-33,-1.08658814120291,"Tmem80",-1.06951184639244
"Tmem242",413.019983999044,-0.753095916982243,0.0603543785183308,-12.4779002861162,9.85513292774275e-36,3.10972668137511e-33,-0.753095916982243,"Tmem242",-0.746599619434778
"Slc25a23",346.052925137958,-1.37712731228441,0.11039685291309,-12.4743348740979,1.03063184414941e-35,3.19602488773644e-33,-1.37712731228441,"Slc25a23",-1.34703933998853
"Ces1d",917.681608199541,-2.34362683257152,0.188130273769059,-12.4574678259835,1.27350276821283e-35,3.8822408117078e-33,-2.34362683257152,"Ces1d",-2.28133580486039
"Cspg4b",32.4761157974905,-2.92901989853532,0.235301770346511,-12.4479297126493,1.43519799353871e-35,4.30224518529786e-33,-2.92901989853532,"Cspg4b",-2.86847648281814
"Acsf3",79.3468784063984,-1.55754023791614,0.12532810422655,-12.4277012528702,1.84874430611508e-35,5.45106804750586e-33,-1.55754023791614,"Acsf3",-1.51816073468524
"Glrx2",304.379765859424,-0.719013679470842,0.0584795615346606,-12.2951277438133,9.62045579301445e-35,2.79086319182513e-32,-0.719013679470842,"Glrx2",-0.713097812608649
"Ralgapa2",547.841058001536,-1.78102852841732,0.145097872925563,-12.2746701416567,1.23895715156276e-34,3.53712433777902e-32,-1.78102852841732,"Ralgapa2",-1.72956117714864
"Immp2l",110.849146424585,-2.11277929872835,0.172687710404282,-12.2346824437135,2.02896801238372e-34,5.70203416730211e-32,-2.11277929872835,"Immp2l",-2.04977985222661
"Dnajc28",97.7781854816312,-1.65903797014772,0.135913787925209,-12.2065464841629,2.86806761462345e-34,7.93616371024882e-32,-1.65903797014772,"Dnajc28",-1.61296492344211
"Aldh6a1",615.93016323983,-1.55654318022101,0.127729308740149,-12.1862648093369,3.67900859409445e-34,1.00258558444519e-31,-1.55654318022101,"Aldh6a1",-1.51565459806316
"Ldhb",193.781983501702,-1.17323444022637,0.0963149682848505,-12.1812264606322,3.91352072034727e-34,1.05057587576367e-31,-1.17323444022637,"Ldhb",-1.15157335423816
"Med12l",57.8816551804196,-2.50502952811829,0.206103779194406,-12.1542144346389,5.44829731872468e-34,1.44107464080268e-31,-2.50502952811829,"Med12l",-2.44033363816583
"Ddx27",452.977311623584,-0.621084338714628,0.0512289612654451,-12.1236957254794,7.91096265412096e-34,2.0621242651742e-31,-0.621084338714628,"Ddx27",-0.61687762066661
"Mtg1",98.7121054983089,-1.10664353868903,0.0916713577878791,-12.0718571797499,1.48739139064727e-33,3.82174593602596e-31,-1.10664353868903,"Mtg1",-1.08755827559219
"Hoxa7",262.957158414014,-1.35170642050634,0.111982791589682,-12.0706619411592,1.50915452525445e-33,3.82304975932767e-31,-1.35170642050634,"Hoxa7",-1.32091562268672
"Ptprd",538.283070965109,-1.26328037316898,0.105159478451975,-12.0129958018563,3.03642338254257e-33,7.58515429977925e-31,-1.26328037316898,"Ptprd",-1.23669517509406
"Lonp1",291.529088436515,-0.850446395486391,0.0708835104107903,-11.9978030229853,3.64852945499686e-33,8.98937681884568e-31,-0.850446395486391,"Lonp1",-0.840714570442821
"Ndufv1",581.670177750056,-1.02581231883781,0.0858496722643704,-11.9489369240556,6.57610266348813e-33,1.59834841223645e-30,-1.02581231883781,"Ndufv1",-1.00974419587325
"Pccb",633.807879292438,-1.31206771598702,0.110091084452239,-11.9180197244422,9.53479393360656e-33,2.28657071586463e-30,-1.31206771598702,"Pccb",-1.28256941838977
"Trappc6b",142.911781821216,-0.989737859912925,0.0830600306080548,-11.9159342064695,9.77641955909987e-33,2.30113735078351e-30,-0.989737859912925,"Trappc6b",-0.975008287423186
"Irak1bp1",170.237112350918,-1.32192878713991,0.110943835852835,-11.91529729415,9.85141643557934e-33,2.30113735078351e-30,-1.32192878713991,"Irak1bp1",-1.29190442199168
"Arl2",251.535479205104,-1.03689496763222,0.0870811982822668,-11.9072197912482,1.08536059672658e-32,2.50273021701594e-30,-1.03689496763222,"Arl2",-1.02026366863156
"Zfp949",74.0942955803732,1.32410857664811,0.111732416085009,11.8507110384215,2.13372589773667e-32,4.85787265780907e-30,1.32410857664811,"Zfp949",1.29364553229906
"Vwa8",259.936077192316,-1.02207929846445,0.0863412398734894,-11.8376722405428,2.49275722579128e-32,5.60434143288525e-30,-1.02207929846445,"Vwa8",-1.00586432845944
"Ndrg2",609.055099037403,-1.42960541398866,0.120778938384484,-11.8365456188868,2.52646028272229e-32,5.60998946235101e-30,-1.42960541398866,"Ndrg2",-1.39336009187341
"Afg3l1",318.723356040408,-0.712092511234979,0.0603524817139901,-11.7988936164975,3.95476833510829e-32,8.67444674088508e-30,-0.712092511234979,"Afg3l1",-0.705830760437862
"D2hgdh",100.499988742717,-1.13526211598569,0.0963035074826665,-11.7883776578961,4.48089448741778e-32,9.71004436755377e-30,-1.13526211598569,"D2hgdh",-1.11394933056425
"Frmd4a",184.686010374491,0.790340664732694,0.0670514010223471,11.7870865139609,4.55010521941849e-32,9.74264196148345e-30,0.790340664732694,"Frmd4a",0.782060734747545
"Saa3",164.826156585984,5.44926910036382,0.464760793037216,11.7248898401106,9.50245738489799e-32,2.01071998264442e-29,5.44926910036382,"Saa3",5.19871025912441
"Babam2",305.487314808729,-0.616519973182893,0.0527181762932343,-11.6946377233086,1.35765317741185e-31,2.83938954057319e-29,-0.616519973182893,"Babam2",-0.612074148672967
"Adissp",392.148061616655,-1.63493596628321,0.139914105445269,-11.6852833463797,1.51573247353675e-31,3.13355911138298e-29,-1.63493596628321,"Adissp",-1.58604013208447
"Grhpr",208.810820518261,-1.24428649633366,0.106909262503528,-11.638715553693,2.61930451608691e-31,5.35350125299309e-29,-1.24428649633366,"Grhpr",-1.21698469232153
"Gpd2",809.564837400963,-1.58831622261947,0.136520388034074,-11.6342785534938,2.7591311686502e-31,5.56883019157138e-29,-1.58831622261947,"Gpd2",-1.54166214944525
"Fmn1",92.0438018753068,1.45173824627084,0.124790176255173,11.6334337352189,2.78658243768166e-31,5.56883019157138e-29,1.45173824627084,"Fmn1",1.41296536175852
"Dnaja3",169.414388364255,-1.08167387222064,0.0932654994861074,-11.5977920901154,4.22846908084006e-31,8.35749943824058e-29,-1.08167387222064,"Dnaja3",-1.06216976148699
"Soat1",269.98441491643,1.26593776966852,0.109801986990217,11.5292792450223,9.39267546099533e-31,1.83626805262459e-28,1.26593776966852,"Soat1",1.23696534949874
"Wbp2",386.483454696873,-0.657264495546587,0.0570962815075728,-11.5115114013057,1.15437324700197e-30,2.2325330344707e-28,-0.657264495546587,"Wbp2",-0.651906993662713
"Agmo",169.392759440556,-1.33412734088973,0.116200009994314,-11.4813014297934,1.63796251673387e-30,3.13408444957185e-28,-1.33412734088973,"Agmo",-1.3011367660939
"Trp53inp1",250.208437931114,0.899130674502621,0.0785671928579676,11.4440982526645,2.51708106168378e-30,4.76549683952047e-28,0.899130674502621,"Trp53inp1",0.886734361226897
"Osbpl1a",508.173172769066,-0.936720641327506,0.0818585526768203,-11.4431615353096,2.54441310937623e-30,4.76706397762926e-28,-0.936720641327506,"Osbpl1a",-0.922904452268003
"D3Ertd751e",180.66277578699,-1.06001419767766,0.0928799597163699,-11.4127331763995,3.61198337464291e-30,6.6974363893121e-28,-1.06001419767766,"D3Ertd751e",-1.04088631979609
"Trerf1",233.502871007621,0.872712072746178,0.0765375565907022,11.4024031027428,4.06734391898551e-30,7.46482119661974e-28,0.872712072746178,"Trerf1",0.861178642220434
"Nudt19",202.961245684287,-1.09833785456459,0.0963905036222127,-11.3946686996195,4.44517633014365e-30,8.07585267413775e-28,-1.09833785456459,"Nudt19",-1.0773512798873
"Tm2d1",126.367581239424,-0.889564803237398,0.0783858384788205,-11.3485397426444,7.54115871305892e-30,1.35635280613078e-27,-0.889564803237398,"Tm2d1",-0.877314468721984
"Dhrs4",319.920661432872,-1.05514279109272,0.0929882292718492,-11.3470575722872,7.67005568506866e-30,1.3658774411054e-27,-1.05514279109272,"Dhrs4",-1.03602126724814
"Oxld1",69.3577457617469,-1.29108353413343,0.113870958874989,-11.3381282364612,8.49417936333491e-30,1.47193611080905e-27,-1.29108353413343,"Oxld1",-1.25973018349223
"A530020G20Rik",155.41784542617,-1.75414080605002,0.154713852886743,-11.3379686002269,8.5096854559225e-30,1.47193611080905e-27,-1.75414080605002,"A530020G20Rik",-1.69530738510207
"Mrps15",395.484260487385,-0.857959951550841,0.0756714993192655,-11.3379536452823,8.5111395265285e-30,1.47193611080905e-27,-0.857959951550841,"Mrps15",-0.846815499723562
"Acsm3",60.3406273515071,-5.79396514175899,0.511692671982448,-11.3231348795977,1.00801561640172e-29,1.72668275015252e-27,-5.79396514175899,"Acsm3",-5.48506617455269
"Ogdh",714.619391288849,-0.980225381532267,0.086682663162084,-11.3082056523735,1.19508506809586e-29,2.02781132403511e-27,-0.980225381532267,"Ogdh",-0.964297607047531
"Klhdc7a",289.29253386348,-1.74894475535277,0.154718889154689,-11.3040157210808,1.253518256339e-29,2.10708218303862e-27,-1.74894475535277,"Klhdc7a",-1.69005015163072
"Gm74897",29.7351739756035,-3.28829793692817,0.292021171834946,-11.2604778491429,2.05640603152502e-29,3.42467767435269e-27,-3.28829793692817,"Gm74897",-3.20362025344436
