"pathway_id","pathway_name","setSize","enrichmentScore","NES","pvalue","padj","rank","leadingEdge","leadingEdge_symbols","contrast","tissue","database","ranking_metric","analysis_type","logFC_cutoff","fdr_cutoff"
"mmu04662","B cell receptor signaling pathway",74,0.406483472360492,1.87996250432712,0.000144950520123258,0.000688031802185064,2974,"57257/14727/20963/17096/234779/83490/26377/23797/16331/14281/18033/14130/18019/18733/19055/18176/17060/16653/12042/12229/15170/22324/18707/68713/16476/14728/18035","Vav3,Lilrb4b,Syk,Lyn,Plcg2,Pik3ap1,Dapp1,Akt3,Inpp5d,Fos,Nfkb1,Fcgr2b,Nfatc2,Pirb,Ppp3ca,Nras,Blnk,Kras,Bcl10,Btk,Ptpn6,Vav1,Pik3cd,Ifitm1,Jun,Lilrb4a,Nfkbia","iWAT_KD_vs_CTL","iWAT","KEGG","DESeq2_Wald_stat","fgsea",1,0.05
"mmu05323","Rheumatoid arthritis",66,0.408949859935845,1.83061032994626,0.000167111174982364,0.00078278392491739,2260,"27060/21934/21808/242341/16414/14281/16173/20296/12524/12519/20310/21687/24088/16176/12977/15894/21809/14999/13038/20315/24099","Tcirg1,Tnfrsf11a,Tgfb2,Atp6v0d2,Itgb2,Fos,Il18,Ccl2,Cd86,Cd80,Cxcl2,Tek,Tlr2,Il1b,Csf1,Icam1,Tgfb3,H2-DMb1,Ctsk,Cxcl12,Tnfsf13b","iWAT_KD_vs_CTL","iWAT","KEGG","DESeq2_Wald_stat","fgsea",1,0.05
"mmu05017","Spinocerebellar ataxia",128,-0.404218637846865,-1.77170539978438,0.000183440635499028,0.00084811514594356,4137,"80912/22065/19883/22333/26440/51897/17463/26444/19181/21762/19173/19166/23996/18795/26446/67089/57296/66997/66413/18708/22123/19170/18706/26443/26441/56208/19185/26445/13063/19182/29869/14812/19172/18798/11739/19184/70247/11652/26408/14169/69597/56436/23997/74143/74769/59029/69077/19179/11740/22334/74781/19175/19177/105675/22433/54138/56717/114896","Pum1,Trpc3,Rora,Vdac1,Psma1,Atg13,Psmd7,Psma7,Psmc2,Psmd2,Psmb5,Psma2,Psmc4,Plcb1,Psmb3,Psmc6,Psmd8,Psmd12,Psmd6,Pik3r1,Psmd3,Psmb1,Pik3ca,Psma6,Psma4,Becn1,Psmd4,Psmb2,Cycs,Psmc3,Ulk2,Grin2b,Psmb4,Plcb4,Slc25a4,Psmc5,Psmd1,Akt2,Map3k5,Fgf14,Afg3l2,Adrm1,Psmd13,Opa1,Pik3cb,Psmd14,Psmd11,Psmc1,Slc25a5,Vdac2,Wipi2,Psmb6,Psmb7,Ppif,Xbp1,Atxn10,Mtor,Afg3l1","iWAT_KD_vs_CTL","iWAT","KEGG","DESeq2_Wald_stat","fgsea",1,0.05
"mmu04668","TNF signaling pathway",110,0.348248006497246,1.7510652263271,0.000192732691672641,0.000879651772249488,3893,"11491/16477/13614/23797/14281/53859/17387/18033/21938/20296/231991/20310/16176/12977/56532/12912/15894/11911/22033/11796/12702/16182/29857/26419/19225/26410/14205/26398/18707/20339/22031/12051/12913/19766/16476/22030/71609/16396/18035/67457/20312/78284/257632/16150/18710/16878","Adam17,Junb,Edn1,Akt3,Fos,Map3k14,Mmp14,Nfkb1,Tnfrsf1b,Ccl2,Creb5,Cxcl2,Il1b,Csf1,Ripk3,Creb1,Icam1,Atf4,Traf5,Birc3,Socs3,Il18r1,Mapk12,Mapk8,Ptgs2,Map3k8,Vegfd,Map2k4,Pik3cd,Sele,Traf3,Bcl3,Creb3,Ripk1,Jun,Traf2,Tradd,Itch,Nfkbia,Frmd8,Cx3cl1,Creb3l4,Nod2,Ikbkb,Pik3r3,Lif","iWAT_KD_vs_CTL","iWAT","KEGG","DESeq2_Wald_stat","fgsea",1,0.05
"mmu04614","Renin-angiotensin system",18,0.645049058934609,2.13673256817633,0.00020388226209687,0.000907723990853375,1565,"72461/17227/16790/12873/17228/70495/11607","Prcp,Mcpt4,Anpep,Cpa3,Cma1,Atp6ap2,Agtr1a","iWAT_KD_vs_CTL","iWAT","KEGG","DESeq2_Wald_stat","fgsea",1,0.05
"mmu00130","Ubiquinone and other terpenoid-quinone biosynthesis",11,-0.784907536001117,-2.05396443443776,0.000203982919292893,0.000907723990853375,1798,"56316/230027/227683/15445/69568/217707/12850/52064/71883","Ggcx,Coq3,Coq4,Hpd,Vkorc1l1,Coq6,Coq7,Coq5,Coq2","iWAT_KD_vs_CTL","iWAT","KEGG","DESeq2_Wald_stat","fgsea",1,0.05
"mmu04630","JAK-STAT signaling pathway",112,0.34406878516287,1.73002007769091,0.000230190582830625,0.00101170182083583,3926,"12575/71724/23797/17210/16164/16847/12914/12984/18414/12982/16880/19255/20848/16154/16194/15980/53603/18595/328572/16391/16452/16451/12443/15170/13649/12702/54721/18707/15975/56469/16153/17869/16195/16188/16155/20847/20852/218624/12983/18590/12986/16197/242700/57914/18710/19116/16878/56468","Cdkn1a,Aox3,Akt3,Mcl1,Il13ra1,Lepr,Crebbp,Csf2rb2,Osmr,Csf2ra,Lifr,Ptpn2,Stat3,Il10ra,Il6ra,Ifngr2,Tslp,Pdgfra,Ep300,Irf9,Jak2,Jak1,Ccnd1,Ptpn6,Egfr,Socs3,Tyk2,Pik3cd,Ifnar1,Pias1,Il10,Myc,Il6st,Il3ra,Il10rb,Stat2,Stat6,Il31ra,Csf2rb,Pdgfa,Csf3r,Il7r,Ifnlr1,Crlf2,Pik3r3,Prlr,Lif,Socs5","iWAT_KD_vs_CTL","iWAT","KEGG","DESeq2_Wald_stat","fgsea",1,0.05
"mmu04080","Neuroactive ligand-receptor interaction",150,0.317250428913343,1.7014657187248,0.000269986310096282,0.00117213568773508,3988,"18438/18439/54598/233571/14745/14396/53623/13614/140795/64095/12267/11551/16847/19204/18619/21336/14739/58861/12273/213438/14404/14714/54393/11517/12671/242425/15465/78134/11607/13618/74191/14658/15566/15558/19217/11535/18436/14402/16995/11542/11541/20287/243764/14289/14809/11443/109648/70086/53978/242443/18166/12424/13610/23936/19219/14802/14814/14062/19116/21333/69071/14807","P2rx4,P2rx7,Calcrl,P2ry6,Lpar1,Gabra3,Gria3,Edn1,P2ry14,Gpr35,C3ar1,Adra2a,Lepr,Ptafr,Penk,Tacr1,S1pr2,Cysltr1,C5ar1,P2ry10b,Gabre,Gnrh1,Gabbr1,Adcyap1r1,Chrm3,Gabbr2,Hrh1,Lpar4,Agtr1a,Ednrb,P2ry13,Glrb,Htr7,Htr2a,Ptger2,Adm,P2rx1,Gabrb3,Ltb4r1,Adora3,Adora2b,Sct,Chrm2,Fpr2,Grik5,Chrnb1,Npy,Cysltr2,Lpar2,Grin3a,Npy1r,Cck,S1pr3,Lynx1,Ptger4,Gria4,Grin2d,F2r,Prlr,Tac1,Tmem97,Grik3","iWAT_KD_vs_CTL","iWAT","KEGG","DESeq2_Wald_stat","fgsea",1,0.05
"mmu04621","NOD-like receptor signaling pathway",150,0.315010289115072,1.68945148415003,0.000291834679006478,0.0012517246473049,3366,"18439/18753/17951/66824/17952/69146/13057/13058/15951/18033/17948/106512/268973/266632/59079/16173/12363/72512/20296/20310/16176/56489/17874/246727/246728/56532/16440/55991/16391/12362/16451/637515/22033/69538/11796/54483/29857/26419/383619/54721/215999/15975/22031/19766/16476/22030/16438/18035/27223/59125/19200/20847/22368","P2rx7,Prkcd,Naip5,Pycard,Naip6,Gsdmd,Cyba,Cybb,Ifi204,Nfkb1,Naip2,Gpsm3,Nlrc4,Irak4,Erbin,Il18,Casp4,Sting1,Ccl2,Cxcl2,Il1b,Ikbke,Myd88,Oas3,Oas2,Ripk3,Itpr3,Panx1,Irf9,Casp1,Jak1,Nlrp1b,Traf5,Antxr1,Birc3,Mefv,Mapk12,Mapk8,Aim2,Tyk2,Mcu,Ifnar1,Traf3,Ripk1,Jun,Traf2,Itpr1,Nfkbia,Trp53bp1,Nek7,Pstpip1,Stat2,Trpv2","iWAT_KD_vs_CTL","iWAT","KEGG","DESeq2_Wald_stat","fgsea",1,0.05
"mmu00010","Glycolysis / Gluconeogenesis",56,-0.483366772523974,-1.88075620991568,0.000300994761530748,0.00127564446553507,2890,"14120/60525/18655/18746/14751/621603/16828/11532/18641/14433/235339/13382/13806/11522/68263/68401/72157/18597/18534/11669/319625/15277/16832","Fbp2,Acss2,Pgk1,Pkm,Gpi1,Aldh3b2,Ldha,Adh5,Pfkl,Gapdh,Dlat,Dld,Eno1,Adh1,Pdhb,G6pc3,Pgm1,Pdha1,Pck1,Aldh2,Galm,Hk2,Ldhb","iWAT_KD_vs_CTL","iWAT","KEGG","DESeq2_Wald_stat","fgsea",1,0.05
