"Contrast","Pathway","PathwayID","NES","padj","CellType","N_Overlap","N_LeadingEdge","Fraction","Overlap_Genes"
"iWAT_KD_vs_CTL","leukocyte activation involved in immune response","GO:0002366",2.06529981375367,7.68e-09,"Mast_cell",3,97,0.0309278350515464,"Ms4a2, Fcer1a, Kit"
"iWAT_KD_vs_CTL","leukocyte activation involved in immune response","GO:0002366",2.06529981375367,7.68e-09,"Crown_like_structure",1,97,0.0103092783505155,"Lgals3"
"iWAT_KD_vs_CTL","lymphocyte proliferation","GO:0046651",2.0371269744724,7.68e-09,"Macrophage",6,127,0.047244094488189,"Ccr2, Itgam, Cd86, Csf1r, Tgfb1, Il10"
"iWAT_KD_vs_CTL","lymphocyte proliferation","GO:0046651",2.0371269744724,7.68e-09,"Macrophage_M1",3,127,0.0236220472440945,"Cd86, Cd80, Il1b"
"iWAT_KD_vs_CTL","lymphocyte proliferation","GO:0046651",2.0371269744724,7.68e-09,"Macrophage_M2",2,127,0.015748031496063,"Tgfb1, Il10"
"iWAT_KD_vs_CTL","lymphocyte proliferation","GO:0046651",2.0371269744724,7.68e-09,"T_cell",1,127,0.0078740157480315,"Il7r"
"iWAT_KD_vs_CTL","lymphocyte proliferation","GO:0046651",2.0371269744724,7.68e-09,"Dendritic",1,127,0.0078740157480315,"Cd209a"
"iWAT_KD_vs_CTL","lymphocyte proliferation","GO:0046651",2.0371269744724,7.68e-09,"Crown_like_structure",2,127,0.015748031496063,"Lgals3, Gpnmb"
"iWAT_KD_vs_CTL","extracellular matrix organization","GO:0030198",2.02941535024614,7.68e-09,"Preadipocyte",3,114,0.0263157894736842,"Fn1, Pdgfra, Col1a2"
"iWAT_KD_vs_CTL","extracellular matrix organization","GO:0030198",2.02941535024614,7.68e-09,"Macrophage",1,114,0.0087719298245614,"Tgfb1"
"iWAT_KD_vs_CTL","extracellular matrix organization","GO:0030198",2.02941535024614,7.68e-09,"Macrophage_M2",1,114,0.0087719298245614,"Tgfb1"
"iWAT_KD_vs_CTL","extracellular matrix organization","GO:0030198",2.02941535024614,7.68e-09,"Fibroblast",5,114,0.043859649122807,"Fn1, Pdgfra, Fap, Col1a2, Postn"
"iWAT_KD_vs_CTL","extracellular matrix organization","GO:0030198",2.02941535024614,7.68e-09,"Smooth_muscle",1,114,0.0087719298245614,"Myh11"
"iWAT_KD_vs_CTL","extracellular matrix organization","GO:0030198",2.02941535024614,7.68e-09,"Crown_like_structure",2,114,0.0175438596491228,"Mmp12, Lgals3"
"iWAT_KD_vs_CTL","cell-substrate adhesion","GO:0031589",1.98901153763878,7.68e-09,"Preadipocyte",2,117,0.0170940170940171,"Fn1, Cd34"
"iWAT_KD_vs_CTL","cell-substrate adhesion","GO:0031589",1.98901153763878,7.68e-09,"Macrophage",2,117,0.0170940170940171,"Itgax, Itgam"
"iWAT_KD_vs_CTL","cell-substrate adhesion","GO:0031589",1.98901153763878,7.68e-09,"Endothelial",1,117,0.00854700854700855,"Tek"
"iWAT_KD_vs_CTL","cell-substrate adhesion","GO:0031589",1.98901153763878,7.68e-09,"Fibroblast",1,117,0.00854700854700855,"Fn1"
"iWAT_KD_vs_CTL","cell-substrate adhesion","GO:0031589",1.98901153763878,7.68e-09,"Dendritic",1,117,0.00854700854700855,"Itgax"
"iWAT_KD_vs_CTL","cell-substrate adhesion","GO:0031589",1.98901153763878,7.68e-09,"Crown_like_structure",2,117,0.0170940170940171,"Mmp12, Spp1"
"iWAT_KD_vs_CTL","positive regulation of MAPK cascade","GO:0043410",1.98221154897234,7.68e-09,"Preadipocyte",1,151,0.00662251655629139,"Pdgfra"
"iWAT_KD_vs_CTL","positive regulation of MAPK cascade","GO:0043410",1.98221154897234,7.68e-09,"Macrophage",3,151,0.0198675496688742,"Ccr2, Csf1r, Tgfb1"
"iWAT_KD_vs_CTL","positive regulation of MAPK cascade","GO:0043410",1.98221154897234,7.68e-09,"Macrophage_M1",1,151,0.00662251655629139,"Il1b"
"iWAT_KD_vs_CTL","positive regulation of MAPK cascade","GO:0043410",1.98221154897234,7.68e-09,"Macrophage_M2",1,151,0.00662251655629139,"Tgfb1"
"iWAT_KD_vs_CTL","positive regulation of MAPK cascade","GO:0043410",1.98221154897234,7.68e-09,"Endothelial",2,151,0.0132450331125828,"Tek, Icam1"
"iWAT_KD_vs_CTL","positive regulation of MAPK cascade","GO:0043410",1.98221154897234,7.68e-09,"Fibroblast",1,151,0.00662251655629139,"Pdgfra"
"iWAT_KD_vs_CTL","positive regulation of MAPK cascade","GO:0043410",1.98221154897234,7.68e-09,"Mast_cell",2,151,0.0132450331125828,"Fcer1a, Kit"
"iWAT_KD_vs_CTL","positive regulation of MAPK cascade","GO:0043410",1.98221154897234,7.68e-09,"Crown_like_structure",1,151,0.00662251655629139,"Gpnmb"
"iWAT_KD_vs_CTL","regulation of immune effector process","GO:0002697",1.94391166009917,7.68e-09,"Macrophage",4,107,0.0373831775700935,"Ccr2, Fcgr1, Itgam, Cd86"
"iWAT_KD_vs_CTL","regulation of immune effector process","GO:0002697",1.94391166009917,7.68e-09,"Macrophage_M1",6,107,0.0560747663551402,"Irf5, Fcgr1, Ccl2, Cd86, Cd80, Il1b"
"iWAT_KD_vs_CTL","regulation of immune effector process","GO:0002697",1.94391166009917,7.68e-09,"Endothelial",1,107,0.00934579439252336,"Tek"
"iWAT_KD_vs_CTL","regulation of immune effector process","GO:0002697",1.94391166009917,7.68e-09,"NK_cell",1,107,0.00934579439252336,"Fcgr3"
"iWAT_KD_vs_CTL","regulation of immune effector process","GO:0002697",1.94391166009917,7.68e-09,"Mast_cell",3,107,0.0280373831775701,"Ms4a2, Fcer1a, Kit"
"iWAT_KD_vs_CTL","regulation of immune effector process","GO:0002697",1.94391166009917,7.68e-09,"Crown_like_structure",1,107,0.00934579439252336,"Lgals3"
