"pathway_id","pathway_name","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","geneID","Count","contrast","tissue","direction","database","analysis_type","logFC_cutoff","fdr_cutoff"
"GO:0001910","regulation of leukocyte mediated cytotoxicity","15/580","83/15043",0.180722891566265,4.68726630660573,6.74551869411175,5.54665540325088e-07,5.27971124849815e-05,"Tyrobp,Nckap1l,Ccl2,H2-Q7,Vav1,Il7r,Sh2d1b1,Klrk1,Cxcl1,Il12b,Havcr2,H60b,H2-M2,Stap1,Klrb1a",15,"gWAT_KD_vs_CTL","gWAT","Up","GO:BP","ORA",1,0.05
"GO:0002695","negative regulation of leukocyte activation","22/580","178/15043",0.123595505617978,3.20559860519179,5.92777374261152,1.40871215547395e-06,0.000120753817397293,"Tyrobp,Lgals3,Gpnmb,Cd44,Cd84,Tnfaip8l2,Cd300a,Lilrb4b,Casp3,Milr1,Clec12a,Vsig4,Lilrb4a,Fgl1,Fgr,Cdkn2a,Il20rb,Havcr2,Il10,Cnr2,Cst7,Sox11",22,"gWAT_KD_vs_CTL","gWAT","Up","GO:BP","ORA",1,0.05
"GO:0002526","acute inflammatory response","15/580","91/15043",0.164835164835165,4.27519893899204,6.27547107924683,1.8802351580067e-06,0.000150603753803619,"Adam8,Il1rn,Lipa,Saa2,Ccr5,Fcgr1,Saa1,Fcer1a,Fcgr4,Saa3,Il1b,Il20rb,Ccr7,Orm2,Ighg2b",15,"gWAT_KD_vs_CTL","gWAT","Up","GO:BP","ORA",1,0.05
"GO:0019730","antimicrobial humoral response","15/580","95/15043",0.157894736842105,4.09519056261343,6.0603156718222,3.28262074650042e-06,0.000250607577615641,"Lgals3,Ccl8,Ccl9,Ccl2,Cxcl10,Igha,Ccl7,Ccl4,Camp,Ccl3,Cxcl13,Wfdc18,Ighg2b,Ccl22,Jchain",15,"gWAT_KD_vs_CTL","gWAT","Up","GO:BP","ORA",1,0.05
"GO:0045088","regulation of innate immune response","37/580","426/15043",0.0868544600938967,2.2526752468836,5.25232713382747,3.53590696406932e-06,0.000265791406560657,"Tyrobp,Cd300c2,Adam8,Myo1f,Tlr13,Cd300a,Slc15a3,Casp1,Tnip3,Pik3ap1,S100a8,Hpx,Oasl1,Tlr7,Mmp12,Fosl1,Nlrc4,Clec7a,Slamf8,Tlr1,Usp18,Vsig4,Clec4n,Vav1,Tlr8,Sh2d1b1,Klrk1,Calhm6,Fgr,Oas3,Il12b,Irf4,Clec4e,Havcr2,Otop1,Oas1a,Klrb1a",37,"gWAT_KD_vs_CTL","gWAT","Up","GO:BP","ORA",1,0.05
"GO:0046651","lymphocyte proliferation","28/580","285/15043",0.0982456140350877,2.5481185722928,5.28385016328275,5.64480072109227e-06,0.000405595534165541,"Tyrobp,Lgals3,Nckap1l,Cdkn1a,Lipa,Gpnmb,Cd44,Cd300a,Slc11a1,Itgb2,Lilrb4b,Casp3,Bst1,Vsig4,Ada,Cd180,Il7r,Lilrb4a,Cdkn2a,Il12b,Il1b,Il20rb,Ccr7,Card11,Havcr2,Il10,Cd22,Sox11",28,"gWAT_KD_vs_CTL","gWAT","Up","GO:BP","ORA",1,0.05
"GO:0032418","lysosome localization","13/580","78/15043",0.166666666666667,4.32270114942529,5.89166192607952,8.0193932445955e-06,0.000551869794268924,"Cd84,Lat2,Hmox1,Cd300a,Milr1,Ms4a2,Mrgprb1,Slc18a2,Fcer1a,Mrgprx2,Fgr,Nr4a3,Il13ra2",13,"gWAT_KD_vs_CTL","gWAT","Up","GO:BP","ORA",1,0.05
"GO:1990849","vacuolar localization","13/580","78/15043",0.166666666666667,4.32270114942529,5.89166192607952,8.0193932445955e-06,0.000551869794268924,"Cd84,Lat2,Hmox1,Cd300a,Milr1,Ms4a2,Mrgprb1,Slc18a2,Fcer1a,Mrgprx2,Fgr,Nr4a3,Il13ra2",13,"gWAT_KD_vs_CTL","gWAT","Up","GO:BP","ORA",1,0.05
"GO:0032943","mononuclear cell proliferation","28/580","291/15043",0.0962199312714777,2.49558004502903,5.15903293480804,8.38497000200565e-06,0.000569013380969439,"Tyrobp,Lgals3,Nckap1l,Cdkn1a,Lipa,Gpnmb,Cd44,Cd300a,Slc11a1,Itgb2,Lilrb4b,Casp3,Bst1,Vsig4,Ada,Cd180,Il7r,Lilrb4a,Cdkn2a,Il12b,Il1b,Il20rb,Ccr7,Card11,Havcr2,Il10,Cd22,Sox11",28,"gWAT_KD_vs_CTL","gWAT","Up","GO:BP","ORA",1,0.05
"GO:0006959","humoral immune response","19/580","157/15043",0.121019108280255,3.13877663079288,5.39465710009173,9.94966687279966e-06,0.000656946923520259,"Lgals3,Ccl8,Ccl9,Ccl2,Hpx,Cxcl10,Vsig4,Igha,Ccl7,Ccl4,Camp,Ccl3,Il1b,Ccr7,Cxcl13,Wfdc18,Ighg2b,Ccl22,Jchain",19,"gWAT_KD_vs_CTL","gWAT","Up","GO:BP","ORA",1,0.05
"GO:0002468","dendritic cell antigen processing and presentation","6/580","15/15043",0.4,10.3744827586207,7.27411138387992,1.18973850150265e-05,0.000754943158226229,"Cd68,Mpeg1,Clec4a2,Slc11a1,Fcgr4,Ccr7",6,"gWAT_KD_vs_CTL","gWAT","Up","GO:BP","ORA",1,0.05
"GO:0050670","regulation of lymphocyte proliferation","23/580","220/15043",0.104545454545455,2.71151253918495,5.12107300681069,1.41341044583916e-05,0.000852583140539523,"Tyrobp,Lgals3,Nckap1l,Cdkn1a,Gpnmb,Cd44,Cd300a,Lilrb4b,Casp3,Bst1,Vsig4,Ada,Lilrb4a,Cdkn2a,Il12b,Il1b,Il20rb,Ccr7,Card11,Havcr2,Il10,Cd22,Sox11",23,"gWAT_KD_vs_CTL","gWAT","Up","GO:BP","ORA",1,0.05
"GO:0002437","inflammatory response to antigenic stimulus","11/580","60/15043",0.183333333333333,4.75497126436782,5.83606941911087,1.56482593605497e-05,0.000921173436574045,"Cd68,Fcgr1,Fcer1a,Fcgr4,Lilrb4a,Il12b,Il20rb,Ccr7,Enpp1,Il10,Ighg2b",11,"gWAT_KD_vs_CTL","gWAT","Up","GO:BP","ORA",1,0.05
"GO:0032944","regulation of mononuclear cell proliferation","23/580","224/15043",0.102678571428571,2.66309267241379,5.0219063090725,1.89358476359011e-05,0.00101670935768146,"Tyrobp,Lgals3,Nckap1l,Cdkn1a,Gpnmb,Cd44,Cd300a,Lilrb4b,Casp3,Bst1,Vsig4,Ada,Lilrb4a,Cdkn2a,Il12b,Il1b,Il20rb,Ccr7,Card11,Havcr2,Il10,Cd22,Sox11",23,"gWAT_KD_vs_CTL","gWAT","Up","GO:BP","ORA",1,0.05
"GO:0006911","phagocytosis, engulfment","10/580","51/15043",0.196078431372549,5.08553076402975,5.8524994588399,2.05822887909857e-05,0.00106800790161589,"Nckap1l,Cd300a,Arhgap25,Itgb2,Fcgr1,Msr1,Clec7a,Bin2,Ighg2b,Stap1",10,"gWAT_KD_vs_CTL","gWAT","Up","GO:BP","ORA",1,0.05
"GO:0002822","regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains","20/580","180/15043",0.111111111111111,2.88180076628352,5.086209568347,2.10294502882261e-05,0.00106800790161589,"Nckap1l,Slc11a1,Fcgr1,Lilrb4b,Hpx,Clec7a,H2-Q7,Clec4n,Ada,Fcer1a,Il7r,Lilrb4a,Il12b,Il1b,Il20rb,Ccr7,Havcr2,H60b,H2-M2,Ighg2b",20,"gWAT_KD_vs_CTL","gWAT","Up","GO:BP","ORA",1,0.05
"GO:0002237","response to molecule of bacterial origin","29/580","325/15043",0.0892307692307692,2.31430769230769,4.79680348578731,2.44130320871823e-05,0.00118101064136607,"Cd68,Cd84,Slc11a1,Casp1,Cd300lb,Tnip3,Ccr5,Casp3,S100a8,Ccl2,C5ar1,Noct,Tlr1,Cxcl10,Fcgr4,Cd180,Lilrb4a,Cxcl2,Camp,Klrk1,Il12b,Il1b,Ccr7,Cxcl13,Havcr2,Il10,Cnr2,Cited1,Stap1",29,"gWAT_KD_vs_CTL","gWAT","Up","GO:BP","ORA",1,0.05
"GO:0070486","leukocyte aggregation","6/580","17/15043",0.352941176470588,9.15395537525355,6.73610261827978,2.75371423523757e-05,0.00131908311307557,"Adam8,Cd44,S100a8,Sema4d,Il1b,Nr4a3",6,"gWAT_KD_vs_CTL","gWAT","Up","GO:BP","ORA",1,0.05
"GO:0034113","heterotypic cell-cell adhesion","10/580","53/15043",0.188679245283019,4.89362394274561,5.68628624442673,2.93045953728153e-05,0.00136037017018675,"Il1rn,Cd44,Cd200r1,Itgax,Nfasc,Itgb2,Nrcam,Il1b,Rnase10,Il10",10,"gWAT_KD_vs_CTL","gWAT","Up","GO:BP","ORA",1,0.05
"GO:0043305","negative regulation of mast cell degranulation","4/580","6/15043",0.666666666666667,17.2908045977011,7.99236217328989,3.08406906154963e-05,0.00136037017018675,"Cd84,Hmox1,Cd300a,Il13ra2",4,"gWAT_KD_vs_CTL","gWAT","Up","GO:BP","ORA",1,0.05
"GO:0043300","regulation of leukocyte degranulation","9/580","43/15043",0.209302325581395,5.4285084202085,5.8234944898322,3.08459287019959e-05,0.00136037017018675,"Nckap1l,Cd84,Hmox1,Cd300a,Itgb2,Ms4a2,Fcer1a,Fgr,Il13ra2",9,"gWAT_KD_vs_CTL","gWAT","Up","GO:BP","ORA",1,0.05
"GO:0061760","antifungal innate immune response","6/580","18/15043",0.333333333333333,8.64540229885057,6.49930549095922,3.99641842099618e-05,0.00161376036404854,"Clec4a2,Clec4d,Clec4b1,Clec7a,Clec4n,Clec4e",6,"gWAT_KD_vs_CTL","gWAT","Up","GO:BP","ORA",1,0.05
"GO:0000070","mitotic sister chromatid segregation","19/580","176/15043",0.107954545454545,2.79993142633229,4.80992404933187,5.01466317255837e-05,0.00188474186624002,"Spc25,Snhg15,Cdk1,Psrc1,Tpx2,Birc5,Cenpi,Prc1,Ccnb1,Spdl1,Ncapg,Ndc80,Kif15,Kif14,Kif11,Kif2c,Spag5,Kif4,Bub1",19,"gWAT_KD_vs_CTL","gWAT","Up","GO:BP","ORA",1,0.05
"GO:0002833","positive regulation of response to biotic stimulus","31/580","379/15043",0.0817941952506596,2.12143117095806,4.42795907506191,6.86171672922201e-05,0.0024648600710125,"Tyrobp,Adam8,Tlr13,Cd300a,Slc15a3,Casp1,Tnip3,Pik3ap1,S100a8,Hpx,Oasl1,Tlr7,Mmp12,Fosl1,Nlrc4,Clec7a,Gsdme,Tlr1,Clec4n,Cd180,Vav1,Tlr8,Sh2d1b1,Klrk1,Cxcl1,Oas3,Il12b,Irf4,Clec4e,Havcr2,Oas1a",31,"gWAT_KD_vs_CTL","gWAT","Up","GO:BP","ORA",1,0.05
"GO:0090402","oncogene-induced cell senescence","4/580","7/15043",0.571428571428571,14.8206896551724,7.3240309738773,6.97622692926353e-05,0.0024648600710125,"Cdkn1a,Hmga1,Cdkn2a,Hmga2",4,"gWAT_KD_vs_CTL","gWAT","Up","GO:BP","ORA",1,0.05
