"pathway_id","pathway_name","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","geneID","Count","contrast","tissue","direction","database","analysis_type","logFC_cutoff","fdr_cutoff"
"GO:0045162","clustering of voltage-gated sodium channels","5/1423","6/15043",0.833333333333333,8.80944014991801,6.18417277710916,4.16097646907025e-05,0.00550809260093175,"Nrcam,Nfasc,Gldn,Ank3,Myoc",5,"iWAT_KD_vs_CTL","iWAT","Up","GO:BP","ORA",1,0.05
"GO:0051047","positive regulation of secretion","53/1423","322/15043",0.164596273291925,1.74000122215772,4.33868784292652,4.4648150464441e-05,0.00578968057247057,"Tnfrsf11a,Pla2r1,Sdc1,Tgfb2,Pla2g4a,Exph5,Edn1,Sytl2,Lepr,Slc6a4,Tacr1,Kcnn4,Ms4a2,Trpm4,Fgr,Cacna1g,Spp1,Il1b,Runx1,Cacna1d,Snap25,Chrm3,Doc2g,Pex5l,Fcer1a,Rab15,Slc18a1,Sphk1,Myb,Rab27b,Myom1,Vdr,S100a8,Adora3,Adora2b,Sct,Ano1,Pcp4,C1qtnf3,Vsnl1,Nlgn1,Cck,Nr1h4,Doc2b,Myo5b,Tac1,Lif,Or51e2,Slc12a2,Gpr39,Npy2r,Ecrg4,Glp1r",53,"iWAT_KD_vs_CTL","iWAT","Up","GO:BP","ORA",1,0.05
"GO:0086002","cardiac muscle cell action potential involved in contraction","12/1423","35/15043",0.342857142857143,3.62445537596627,5.02433389376206,5.17563608297685e-05,0.00639178051978309,"Trpm4,Cacna1d,Kcne3,Ryr2,Scn3b,Kcnj2,Scn2b,Scn4b,Cacnb2,Rnf207,Kcnd3,Dsc2",12,"iWAT_KD_vs_CTL","iWAT","Up","GO:BP","ORA",1,0.05
"GO:0007218","neuropeptide signaling pathway","11/1423","30/15043",0.366666666666667,3.87615366596393,5.09689467429099,5.22759310761063e-05,0.00639178051978309,"Gpr165,Penk,Glrb,Cmklr2,Ltb4r1,Tyro3,Npy,Tac1,Npy2r,Ecrg4,Glp1r",11,"iWAT_KD_vs_CTL","iWAT","Up","GO:BP","ORA",1,0.05
"GO:0050906","detection of stimulus involved in sensory perception","18/1423","69/15043",0.260869565217391,2.75773778606129,4.7301662848323,5.23091890193139e-05,0.00639178051978309,"Itga2,Col11a1,Cacnb4,Pawr,Htr7,Htr2a,Phf24,Kit,Cxcr4,Car6,Cacnb3,Ano1,Tulp1,Tac1,Or51e2,Slc12a2,Piezo2,Tnf",18,"iWAT_KD_vs_CTL","iWAT","Up","GO:BP","ORA",1,0.05
"GO:0019226","transmission of nerve impulse","17/1423","64/15043",0.265625,2.80800904778637,4.68506763106576,6.54898455994775e-05,0.00770597183220518,"Nrcam,Gpr35,Pak1,Itga2,Penk,Nfasc,Prx,Kcnma1,Cacnb4,Pawr,Cldn19,Ank3,Cacng4,Scn3a,Scn4b,Scn8a,Gria1",17,"iWAT_KD_vs_CTL","iWAT","Up","GO:BP","ORA",1,0.05
"GO:0007411","axon guidance","36/1423","195/15043",0.184615384615385,1.95162981782799,4.32332671156695,6.9412654399374e-05,0.0080190546555204,"Tgfb2,Etv1,Nrcam,Edn1,Flrt2,Sema6c,Enah,Nfasc,Vangl2,Slit2,Lama5,Egr2,Gap43,Lamc2,Ephb3,Epha3,Ank3,Efnb3,Cxcr4,Dpysl5,Chl1,Reln,Lamb3,Bdnf,Bmp7,Erbb2,Epha7,Lama3,Efna3,Etv4,Tubb3,Cntn1,Ndp,Sema3e,Lama1,Gata3",36,"iWAT_KD_vs_CTL","iWAT","Up","GO:BP","ORA",1,0.05
"GO:0030198","extracellular matrix organization","48/1423","290/15043",0.16551724137931,1.74973707805268,4.16710559298398,8.72459113522027e-05,0.00871321705286811,"Tgfb2,Mmp12,Ndnf,Prdm5,Myo1e,Flrt2,Loxl4,Col6a6,Foxc1,Col8a2,Adamts14,Col4a5,Papln,Col11a1,Npnt,Ptx3,Col13a1,Hmcn1,Col8a1,Col4a6,Ccn2,Egfl6,Has2,Mmp15,Thsd4,Mmp16,Col6a5,Lamb3,Col28a1,Tnfrsf11b,Itga8,Col9a3,Mpzl3,Has1,Hpse2,Aplp1,Sox9,Col7a1,Matn4,Spint2,Zfp469,Col17a1,Adamts18,P4ha3,Tnf,Lama1,Adamts19,Mansc4",48,"iWAT_KD_vs_CTL","iWAT","Up","GO:BP","ORA",1,0.05
"GO:0008015","blood circulation","67/1423","447/15043",0.149888143176734,1.58451675179733,4.05508988174847,9.74806564683628e-05,0.00871321705286811,"Ncf2,Tgfb2,Slc8a1,Arhgap42,Prkg1,Edn1,Mcpt4,Adra2a,Slc6a4,Foxc1,Tacr1,Kcnn4,Trpm4,Nos1ap,Cacna1g,Cacna1d,Atp1b1,Kcne3,Ryr2,Irx5,Kcnma1,Slit2,Chrm3,Irx3,Scn3b,Ncald,Kcnj2,Htr7,Htr2a,Tnni3,Dusp5,Pde5a,Gpr37l1,Ccn2,Ptgs2,Cxcr4,Scn2b,Ager,Adora2b,Chrm2,Scn4b,Cxadr,Ddah1,Npy,Kcnmb1,Pln,Stc1,Cx3cl1,Nav2,Sh3gl2,Scnn1a,Cacnb2,Wnk4,Tnnt2,Tac1,Actc1,Or51e2,Nos1,Tjp3,Scnn1b,Rnf207,Tnf,Glp1r,Kcnd3,Ocln,Faah,Dsc2",67,"iWAT_KD_vs_CTL","iWAT","Up","GO:BP","ORA",1,0.05
"GO:0001763","morphogenesis of a branching structure","39/1423","221/15043",0.176470588235294,1.86552850233558,4.1897759046338,9.8197224630479e-05,0.00871321705286811,"Cd44,Edn1,Pak1,Sfrp1,Fat4,Bcl11a,Greb1l,Vangl2,Il1b,Hs3st3a1,Npnt,Slit2,Lama5,Col13a1,Epha2,Fgfr2,Rspo3,Cxcr4,Vdr,Csmd1,Six4,Hmga2,Bmp7,Il10,Epha7,Etv4,Sox10,Celsr1,Slc12a2,Wnt4,St14,Sox9,Spint2,Sema3e,Cited1,Esrp2,Tnf,Lama1,Wnt6",39,"iWAT_KD_vs_CTL","iWAT","Up","GO:BP","ORA",1,0.05
