"category","subcategory","pathway_id","pathway_name","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","geneID","Count","geneID_symbols","contrast","tissue","direction","database","analysis_type","logFC_cutoff","fdr_cutoff"
"Organismal Systems","Endocrine system","mmu04923","Regulation of lipolysis in adipocytes","13/368","51/6447",0.254901960784314,4.46563299232737,6.11316922523488,3.62235304130365e-06,9.44089923637083e-05,"225845,11556,66853,103968,18576,16890,11770,11832,23945,14677,11539,22095,224129",13,"Plaat3,Adrb3,Pnpla2,Plin1,Pde3b,Lipe,Fabp4,Aqp7,Mgll,Gnai1,Adora1,Tshr,Adcy5","iWAT_KD_vs_CTL","iWAT","Down","KEGG","ORA",1,0.05
"Organismal Systems","Endocrine system","mmu04922","Glucagon signaling pathway","18/368","93/6447",0.193548387096774,3.39077840112202,5.71360457925425,3.8273915823125e-06,9.44089923637083e-05,"16832,100705,110078,18639,235344,19013,18534,107476,18597,18682,18576,68263,14936,19017,232493,14120,241113,20526",18,"Ldhb,Acacb,Pygb,Pfkfb1,Sik2,Ppara,Pck1,Acaca,Pdha1,Phkg1,Pde3b,Pdhb,Gys1,Ppargc1a,Gys2,Fbp2,Prkag3,Slc2a2","iWAT_KD_vs_CTL","iWAT","Down","KEGG","ORA",1,0.05
"Metabolism","Xenobiotics biodegradation and metabolism","mmu00982","Drug metabolism - cytochrome P450","11/368","38/6447",0.289473684210526,5.07129576659039,6.19273226696481,5.37187298663184e-06,0.000122313415695617,"76263,66447,14860,211666,14865,68214,621603,14870,14867,226564,68312",11,"Gstk1,Mgst3,Gsta4,Mgst2,Gstm4,Gsto2,Aldh3b2,Gstp1,Gstm6,Fmo4,Gstm7","iWAT_KD_vs_CTL","iWAT","Down","KEGG","ORA",1,0.05
"Organismal Systems","Endocrine system","mmu04910","Insulin signaling pathway","21/368","127/6447",0.165354330708661,2.8968461143444,5.31163726126848,8.34124194778366e-06,0.000176357686895997,"20528,15277,100705,110078,13685,18534,20787,107476,18682,14104,18576,16890,14936,23921,19088,19017,232493,20411,244416,14120,241113",21,"Slc2a4,Hk2,Acacb,Pygb,Eif4ebp1,Pck1,Srebf1,Acaca,Phkg1,Fasn,Pde3b,Lipe,Gys1,Sh2b2,Prkar2b,Ppargc1a,Gys2,Sorbs1,Ppp1r3b,Fbp2,Prkag3","iWAT_KD_vs_CTL","iWAT","Down","KEGG","ORA",1,0.05
"Metabolism","Xenobiotics biodegradation and metabolism","mmu00983","Drug metabolism - other enzymes","13/368","55/6447",0.236363636363636,4.14085968379447,5.75525385987487,8.95668061164096e-06,0.000176745164069715,"66447,234564,104158,99586,14860,211666,76654,14865,68214,14870,14867,68312,13884",13,"Mgst3,Ces1f,Ces1d,Dpyd,Gsta4,Mgst2,Upp2,Gstm4,Gsto2,Gstp1,Gstm6,Gstm7,Ces1c","iWAT_KD_vs_CTL","iWAT","Down","KEGG","ORA",1,0.05
"Metabolism","Metabolism of other amino acids","mmu00410","beta-Alanine metabolism","9/368","27/6447",0.333333333333333,5.83967391304348,6.19988247470528,1.09108793216009e-05,0.000201851267449617,"104776,99586,246277,93747,227095,11754,11430,621603,338403",9,"Aldh6a1,Dpyd,Csad,Echs1,Hibch,Aoc3,Acox1,Aldh3b2,Cndp1","iWAT_KD_vs_CTL","iWAT","Down","KEGG","ORA",1,0.05
"Metabolism","Global and overview maps","mmu01210","2-Oxocarboxylic acid metabolism","9/368","28/6447",0.321428571428571,5.63111413043478,6.04204283756325,1.52785367628628e-05,0.00026602628716514,"13171,209692,12039,11428,18597,12036,67834,68263,76282",9,"Dbt,Dhtkd1,Bckdha,Aco1,Pdha1,Bcat2,Idh3a,Pdhb,Gpt","iWAT_KD_vs_CTL","iWAT","Down","KEGG","ORA",1,0.05
"Cellular Processes","Transport and catabolism","mmu04146","Peroxisome","15/368","79/6447",0.189873417721519,3.32639653274629,5.11857119603024,3.14081718318391e-05,0.000516489936790243,"19301,69123,76263,67993,110959,28200,14712,72129,11430,26874,12908,20280,13850,14081,18126",15,"Pxmp2,Eci3,Gstk1,Nudt12,Nudt19,Dhrs4,Gnpat,Pex13,Acox1,Abcd2,Crat,Scp2,Ephx2,Acsl1,Nos2","iWAT_KD_vs_CTL","iWAT","Down","KEGG","ORA",1,0.05
"Metabolism","Metabolism of other amino acids","mmu00480","Glutathione metabolism","12/368","56/6447",0.214285714285714,3.75407608695652,5.0925878236928,5.67034293058275e-05,0.000883379740764471,"76263,66447,14860,211666,69590,75475,625249,14865,68214,14870,14867,68312",12,"Gstk1,Mgst3,Gsta4,Mgst2,Gpx8,Oplah,Gpx4,Gstm4,Gsto2,Gstp1,Gstm6,Gstm7","iWAT_KD_vs_CTL","iWAT","Down","KEGG","ORA",1,0.05
"Environmental Information Processing","Signaling molecules and interaction","mmu04080","Neuroactive ligand-receptor interaction","21/368","150/6447",0.14,2.45266304347826,4.42890800153738,0.000108014749879406,0.00159861829821522,"17200,12257,11556,94045,14600,11549,193034,11539,22095,11540,319229,14812,12801,237362,16846,19228,110835,17203,12310,110902,385643",21,"Mc2r,Tspo,Adrb3,P2rx5,Ghr,Adra1a,Trpv1,Adora1,Tshr,Adora2a,Sctr,Grin2b,Cnr1,Npffr1,Lep,Pth1r,Chrna5,Mc5r,Calca,Chrna2,Kng2","iWAT_KD_vs_CTL","iWAT","Down","KEGG","ORA",1,0.05
"Metabolism","Carbohydrate metabolism","mmu00630","Glyoxylate and dicarboxylate metabolism","8/368","28/6447",0.285714285714286,5.0054347826087,5.22574219895451,0.000118209663795267,0.00166619335635233,"66904,76238,110821,17850,11428,104174,224530,60525",8,"Pccb,Grhpr,Pcca,Mmut,Aco1,Gldc,Acat3,Acss2","iWAT_KD_vs_CTL","iWAT","Down","KEGG","ORA",1,0.05
NA,NA,"mmu04081","Hormone signaling","19/368","131/6447",0.145038167938931,2.54092681712579,4.3837884567897,0.000142615940981749,0.00191883266048171,"17200,11556,11450,68465,110542,21832,14600,11549,15203,14677,22095,224129,18162,16846,19228,14704,17203,14916,12310",19,"Mc2r,Adrb3,Adipoq,Adipor2,Amhr2,Thpo,Ghr,Adra1a,Heph,Gnai1,Tshr,Adcy5,Npr3,Lep,Pth1r,Gng3,Mc5r,Guca2b,Calca","iWAT_KD_vs_CTL","iWAT","Down","KEGG","ORA",1,0.05
"Metabolism","Lipid metabolism","mmu00561","Glycerolipid metabolism","11/368","54/6447",0.203703703703704,3.56868961352657,4.66346955202255,0.000186987762452897,0.00240645120374163,"68393,66853,102247,227333,225913,13350,67800,23945,14245,67512,116939",11,"Mogat1,Pnpla2,Gpat4,Dgkd,Tkfc,Dgat1,Dgat2,Mgll,Lpin1,Agpat2,Pnpla3","iWAT_KD_vs_CTL","iWAT","Down","KEGG","ORA",1,0.05
