"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","logFC","gene_name"
"Acp5",565.247331377758,-1.70431819178742,0.169182056528537,-10.0738708747162,7.2083961642998e-24,5.8139109152958e-22,-1.70431819178742,"Acp5"
"Mc2r",77.4536080818986,-2.43342931445409,0.242125201533734,-10.0502933979595,9.15943078396008e-24,7.34589208000736e-22,-2.43342931445409,"Mc2r"
"Syt14",28.2563027588681,-3.3271427651128,0.331059960395231,-10.0499702867745,9.18951249861923e-24,7.34589208000736e-22,-3.3271427651128,"Syt14"
"Mrpl46",119.587137300443,-0.763406011989246,0.0759966599659971,-10.0452574143497,9.6395671017227e-24,7.67155990670727e-22,-0.763406011989246,"Mrpl46"
"Capg",201.051759444933,0.946208640246875,0.0942535511403909,10.0389707209811,1.02740580719533e-23,8.14049376573357e-22,0.946208640246875,"Capg"
"Ndufaf1",77.1024021827986,-0.996203554261102,0.0992483804877292,-10.0374791947791,1.04305618055762e-23,8.2282493261006e-22,-0.996203554261102,"Ndufaf1"
"Acacb",276.96363170686,-2.18883178665039,0.218224670116133,-10.0301757151726,1.12316544495354e-23,8.82150816285341e-22,-2.18883178665039,"Acacb"
"Arhgef10l",115.543842481692,0.968051835896961,0.0967482882733874,10.0058807568924,1.43608061716901e-23,1.12301504262617e-21,0.968051835896961,"Arhgef10l"
"Acad12",99.3989103322108,-1.10087345750099,0.110412558943347,-9.97054563390614,2.0509896420262e-23,1.59693072300793e-21,-1.10087345750099,"Acad12"
"Agpat4",141.170077894107,0.985849455026607,0.0988823342267465,9.96992498949267,2.06384646082137e-23,1.6000147605316e-21,0.985849455026607,"Agpat4"
"Gm8162",16.5979296893782,-4.96338011678852,0.497984357677062,-9.96693980497922,2.12680910748537e-23,1.64175058400137e-21,-4.96338011678852,"Gm8162"
"1110019D14Rik",60.1078367793659,-1.21178295469928,0.121680901309613,-9.95869476357627,2.3107642514926e-23,1.76560144162846e-21,-1.21178295469928,"1110019D14Rik"
"Lrrn4",92.5892013790936,-3.953550229543,0.397000949506229,-9.95854099205617,2.31434060408039e-23,1.76560144162846e-21,-3.953550229543,"Lrrn4"
"Fign",133.55790164167,-1.40134696922179,0.140719532815587,-9.95843960808378,2.31670154689379e-23,1.76560144162846e-21,-1.40134696922179,"Fign"
"Atraid",589.355010076054,-0.633943100416717,0.0638039491364843,-9.93579721939525,2.90840081168083e-23,2.20719396619795e-21,-0.633943100416717,"Atraid"
"Dnajc4",206.96126958824,-0.743159595381683,0.0748317393031209,-9.93107473249242,3.04950759746373e-23,2.30455645579759e-21,-0.743159595381683,"Dnajc4"
"Srek1ip1",417.91823994742,-0.52845190452564,0.0532347734712358,-9.92681794374831,3.18249665217488e-23,2.38000914296043e-21,-0.52845190452564,"Srek1ip1"
"Tspan12",280.232308475558,-1.57410697526837,0.158571280529759,-9.92681001256692,3.18274971806994e-23,2.38000914296043e-21,-1.57410697526837,"Tspan12"
"Mpnd",213.320467967149,-0.692795342926018,0.0697917160316275,-9.92661281765968,3.18904816776084e-23,2.38000914296043e-21,-0.692795342926018,"Mpnd"
"Rida",151.20502453044,-1.26332633515634,0.127406155909887,-9.915740147202,3.55610863120433e-23,2.64298222482814e-21,-1.26332633515634,"Rida"
"Gm44250",285.410463416211,-1.32279820153448,0.133535424617381,-9.90597218172395,3.9213745100842e-23,2.90246263120882e-21,-1.32279820153448,"Gm44250"
"Gm70540",36.7032125779414,-2.67414837825288,0.269979032014006,-9.9050224689825,3.95881059539934e-23,2.91816259708412e-21,-2.67414837825288,"Gm70540"
"Sdr39u1",133.278701242347,-0.783661000006089,0.0792894035931282,-9.88355271313967,4.90619776887198e-23,3.60174992126251e-21,-0.783661000006089,"Sdr39u1"
"Ndufa3",693.026392606683,-0.728221323661847,0.0737588193051587,-9.87300678782578,5.45057772085823e-23,3.98512564582748e-21,-0.728221323661847,"Ndufa3"
"Entpd1",145.070213841854,0.963686776617316,0.0976355303105007,9.87024675907016,5.60266125259896e-23,4.07973543681153e-21,0.963686776617316,"Entpd1"
"Nomo1",270.262530506634,-0.835984335464877,0.0847388190556582,-9.86542348337171,5.87858581836936e-23,4.26339695682223e-21,-0.835984335464877,"Nomo1"
"Slc1a5",1278.43203606092,-1.34732069772155,0.136641406665963,-9.86026659558067,6.18848579307504e-23,4.47012471784127e-21,-1.34732069772155,"Slc1a5"
"Tspo",954.623951310638,-1.16749415839212,0.118426095968191,-9.8584197076437,6.30336231111294e-23,4.5348909811071e-21,-1.16749415839212,"Tspo"
"Gid4",244.755143024672,-0.813814742609203,0.0826016832587725,-9.85227795007161,6.70077590978061e-23,4.80159982124757e-21,-0.813814742609203,"Gid4"
"Txnl4b",59.9066867856393,-1.30782486243845,0.133059479383609,-9.82887403811352,8.45588669470817e-23,6.0352213528183e-21,-1.30782486243845,"Txnl4b"
"Mccc2",163.159202368331,-1.28526755088718,0.131137486132625,-9.8009164945204,1.1156869535657e-22,7.90112478421848e-21,-1.28526755088718,"Mccc2"
"Fundc2",582.140435852943,-0.544512221747133,0.0555573361368462,-9.80090586787525,1.11580434515261e-22,7.90112478421848e-21,-0.544512221747133,"Fundc2"
"Gatd3a",407.743335889963,-1.07165818717721,0.109350223451712,-9.80023774391682,1.12320965317742e-22,7.92237208707804e-21,-1.07165818717721,"Gatd3a"
"Fars2",129.503834376887,-0.745652821157422,0.0761030252588212,-9.79793928850407,1.14905863139672e-22,8.07303458761773e-21,-0.745652821157422,"Fars2"
"Lrrc49",83.0524522682314,1.17298714008334,0.119800662321238,9.7911573889136,1.22881138563663e-22,8.59976715255269e-21,1.17298714008334,"Lrrc49"
"Nfs1",203.02405596462,-0.78336673886643,0.0800208931944552,-9.78952755454511,1.24878009925814e-22,8.70564297102978e-21,-0.78336673886643,"Nfs1"
"Acer3",143.146814620126,0.937662426917503,0.0958911057069094,9.77840874818424,1.39384629194535e-22,9.67942834244362e-21,0.937662426917503,"Acer3"
"Fyco1",488.280807060831,-0.432020370371707,0.0442145670520799,-9.77099628416206,1.49969972191299e-22,1.03744612301258e-20,-0.432020370371707,"Fyco1"
"Mfn2",440.982745328743,-1.09756020090848,0.11244793529527,-9.76060785844095,1.66156303520991e-22,1.14501428165845e-20,-1.09756020090848,"Mfn2"
"Bloc1s5",136.039941404712,-0.765787235062982,0.078518082686221,-9.75300477118461,1.79087492200585e-22,1.22941512775562e-20,-0.765787235062982,"Bloc1s5"
"Bnip3",449.907271439858,-1.38963488799036,0.142530621309209,-9.74972869146241,1.84961919725198e-22,1.26491448219674e-20,-1.38963488799036,"Bnip3"
"Gm62725",22.8131895397691,-3.49007799733061,0.35801481956512,-9.74841768162,1.87365804414178e-22,1.2765005144672e-20,-3.49007799733061,"Gm62725"
"Polr3gl",301.689112532218,-0.809356778475902,0.0830524601899058,-9.74512707540807,1.93536576201226e-22,1.31356560737934e-20,-0.809356778475902,"Polr3gl"
