"","baseMean","log2FoldChange","lfcSE","stat","pvalue","logFC","P.Value","adj.P.Val","gene_name","log2FoldChange_shrunk"
"Ppm1g",429.948451688637,0.0213242783029145,0.0706352651943564,0.301892804454542,0.762733781214669,0.0213242783029145,0.762733781214669,0.941804916249824,"Ppm1g",0.0103263651895638
"Fam20b",429.923925610279,0.0214321343211182,0.0710096649513206,0.301819961209656,0.762789313235774,0.0214321343211182,0.762789313235774,0.941804916249824,"Fam20b",0.0103234510380149
"Gm45220",9.14672439236312,-0.136581295207636,0.453162775058139,-0.301395663379706,0.76311280079037,-0.136581295207636,0.76311280079037,NA,"Gm45220",-0.00300395137765193
"Brca1",23.2929654362863,0.0829696120787393,0.275539414303739,0.301117037242732,0.763325249761245,0.0829696120787393,0.763325249761245,0.9423700947836,"Brca1",0.00479639720968856
"Sipa1l3",62.1665887653805,0.0518298839726504,0.172329073102406,0.300761113836263,0.763596662867168,0.0518298839726504,0.763596662867168,0.942577128061949,"Sipa1l3",0.00703523821558722
"Gm31223",9.72824217541806,-0.124683947318988,0.414589507104926,-0.300740721080123,0.763612214456431,-0.124683947318988,0.763612214456431,NA,"Gm31223",-0.00326001183257377
"Lrrc14",247.871298519761,0.0268503070094159,0.0892988876167769,0.300679075921338,0.763659225856398,0.0268503070094159,0.763659225856398,0.942577128061949,"Lrrc14",0.00996068954425797
"Eno1b",12.6272808081952,-0.109509840225589,0.364316944775619,-0.300589477914718,0.763727556015348,-0.109509840225589,0.763727556015348,0.942577128061949,"Eno1b",-0.00369404865802303
"Utp25",164.731537090227,-0.0320586645383138,0.10676641352178,-0.300269190289641,0.763971832122331,-0.0320586645383138,0.763971832122331,0.942582471596219,"Utp25",-0.0092929877302148
"Mexis",22.2202162966951,0.0842939549172994,0.280746091730005,0.300249789401754,0.763986629494356,0.0842939549172994,0.763986629494356,0.942582471596219,"Mexis",0.00472564246113399
"Smim11",445.582070560194,-0.0221330386824723,0.0737208793370577,-0.300227545866325,0.764003595105857,-0.0221330386824723,0.764003595105857,0.942582471596219,"Smim11",-0.0102334690280962
"Dock6",72.3421560448549,-0.0470481258803288,0.15673635869816,-0.300173656394131,0.764044698207506,-0.0470481258803288,0.764044698207506,0.942582471596219,"Dock6",-0.00747741189694708
"Tpgs1",137.481843742925,-0.0355764986602031,0.118632653708675,-0.299887910689142,0.764262656054269,-0.0355764986602031,0.764262656054269,0.942633778809317,"Tpgs1",-0.00872234648127871
"Nudt7",208.122705754538,0.0302078826877115,0.100741042721744,0.299856760180142,0.764286417813274,0.0302078826877115,0.764286417813274,0.942633778809317,"Nudt7",0.0111921469398205
"Ino80dos",26.2520508971622,0.080035006896861,0.266951051429388,0.299811543982741,0.764320909342359,0.080035006896861,0.764320909342359,0.942633778809317,"Ino80dos",0.00488972694489625
"Nars2",55.1197862493074,0.0534113766147659,0.178512363806073,0.299202674122837,0.764785409050184,0.0534113766147659,0.764785409050184,0.943030691239108,"Nars2",0.00682817171281851
"Rell1",165.084347601516,-0.033612753522424,0.112347883989883,-0.299184571428607,0.764799220680518,-0.033612753522424,0.764799220680518,0.943030691239108,"Rell1",-0.00936095987712169
"Jup",122.458231960381,0.0363551223134498,0.121699092673252,0.298729608535859,0.765146363691314,0.0363551223134498,0.765146363691314,0.943152490777024,"Jup",0.00875672199782025
"N6amt1",388.279620373427,-0.0230860454629095,0.0772819248698194,-0.298725031781982,0.765149856057957,-0.0230860454629095,0.765149856057957,0.943152490777024,"N6amt1",-0.0100681227000725
"Polr1h",210.935577513059,-0.0284950928361172,0.0954048249953977,-0.298675594630479,0.765187580186532,-0.0284950928361172,0.765187580186532,0.943152490777024,"Polr1h",-0.00947115631153798
"Acsl3",655.861839082202,-0.0203783657029173,0.0682671838798851,-0.29850895473838,0.765314742600872,-0.0203783657029173,0.765314742600872,0.943152490777024,"Acsl3",-0.0101634064115665
"Zfp759",12.3402195167869,-0.110738401415959,0.371263151166273,-0.298274690251617,0.765493519841983,-0.110738401415959,0.765493519841983,0.943152490777024,"Zfp759",-0.00359155425686546
"Scmh1",122.840975822057,0.037910832102755,0.127124192715596,0.298218862145065,0.765536126499538,0.037910832102755,0.765536126499538,0.943152490777024,"Scmh1",0.00838907628455278
"Yy1",754.703880115777,-0.0193645525794346,0.0649377413001764,-0.298201819030345,0.765549133532876,-0.0193645525794346,0.765549133532876,0.943152490777024,"Yy1",-0.0102098347742337
"Atp11a",138.291081222071,-0.0353580517432603,0.118701212168142,-0.297874394856011,0.765799031270883,-0.0353580517432603,0.765799031270883,0.943152490777024,"Atp11a",-0.00855382124561714
"Cdc7",34.9116522074882,0.0654051162726879,0.219620201355384,0.297810109766955,0.765848098007901,0.0654051162726879,0.765848098007901,0.943152490777024,"Cdc7",0.0057761277098298
"Gm5963",31.5954896534603,-0.0703498113003782,0.236334536323426,-0.297670464904477,0.765954687668063,-0.0703498113003782,0.765954687668063,0.943152490777024,"Gm5963",-0.00534284937923859
"Mettl13",67.6738640887728,-0.0474035026927854,0.159267671413915,-0.297634179441164,0.765982384759246,-0.0474035026927854,0.765982384759246,0.943152490777024,"Mettl13",-0.0065443875024034
"Uri1",350.767283560059,-0.0254595700708708,0.0855666982249719,-0.297540639045491,0.766053786546188,-0.0254595700708708,0.766053786546188,0.943152490777024,"Uri1",-0.00962723414307624
"Mob3a",100.754669090175,-0.0418926463145227,0.140798064065198,-0.297537090390133,0.766056495365112,-0.0418926463145227,0.766056495365112,0.943152490777024,"Mob3a",-0.0079578465941028
"Sh2d3c",67.9601890778,0.0483147198233088,0.162385497685568,0.297531001917807,0.766061142926242,0.0483147198233088,0.766061142926242,0.943152490777024,"Sh2d3c",0.00727603863086449
"Ubn1",819.182966184447,-0.0171204427128701,0.057546486222139,-0.297506309017416,0.766079992037052,-0.0171204427128701,0.766079992037052,0.943152490777024,"Ubn1",-0.0100805876952839
"Prpf8",313.419977636805,-0.0245639889502199,0.0826087810910335,-0.297353242909501,0.766196836808787,-0.0245639889502199,0.766196836808787,0.943152490777024,"Prpf8",-0.00982493979407754
"Ccdc30",10.272646488256,-0.121374234940117,0.408209493851351,-0.297333199664179,0.766212137444189,-0.121374234940117,0.766212137444189,NA,"Ccdc30",-0.00327218133579327
"Mfhas1",144.315492294113,0.0335354660698098,0.11286739457101,0.2971227093287,0.766372827301819,0.0335354660698098,0.766372827301819,0.943152490777024,"Mfhas1",0.00920785703735611
"Mrps25",428.431032266988,-0.0214625929520393,0.0722408189824535,-0.297097863152027,0.766391795717639,-0.0214625929520393,0.766391795717639,0.943152490777024,"Mrps25",-0.00996640215598085
"Asap3",27.0514687928825,0.0789289164827939,0.265719493686326,0.29703848742075,0.766437125736243,0.0789289164827939,0.766437125736243,0.943152490777024,"Asap3",0.00487955594274767
"Adamts1",600.390511225419,0.0213307471576212,0.0718195888637569,0.2970045846139,0.766463008973778,0.0213307471576212,0.766463008973778,0.943152490777024,"Adamts1",0.0103790693799243
"9330159M07Rik",54.9472691549269,0.0528342866102379,0.177960218362567,0.296888187126159,0.76655187509852,0.0528342866102379,0.76655187509852,0.943165552323649,"9330159M07Rik",0.00679489402426593
"mt-Rnr1",5529.61976365183,-0.0304792700637529,0.102719025889493,-0.29672467977396,0.766676713432713,-0.0304792700637529,0.766676713432713,0.943222866898488,"mt-Rnr1",-0.00846086151001521
"Vars2",164.056994744902,0.0314110004621195,0.105955153231233,0.296455618289459,0.766882155833551,0.0314110004621195,0.766882155833551,0.943379324786874,"Vars2",0.00925524897873814
"Odr4",395.612703590306,-0.0231099471007931,0.0779858432111328,-0.296335157115978,0.766974139500039,-0.0231099471007931,0.766974139500039,0.94339619383549,"Odr4",-0.00990570581614949
"Gm56511",9.0321661411135,-0.142073071463179,0.479641786699451,-0.296206617944661,0.767072295114344,-0.142073071463179,0.767072295114344,NA,"Gm56511",-0.00287695818068092
"Cdk5",236.723816198008,0.0274285120487691,0.0926630031506547,0.296002839495445,0.76722791291589,0.0274285120487691,0.76722791291589,0.943530855407663,"Cdk5",0.00970843274267801
"Hsd17b4",290.593240851656,-0.0244918939133508,0.0827645254718672,-0.295922604204092,0.767289188112658,-0.0244918939133508,0.767289188112658,0.943530855407663,"Hsd17b4",-0.00978671745783532
"9230116N13Rik",15.5266196006649,0.0991192431129928,0.334993282837456,0.295884270494722,0.767318463843517,0.0991192431129928,0.767318463843517,0.943530855407663,"9230116N13Rik",0.00396676378167188
"Snrpb",432.833316723129,0.0212033391232436,0.071715510822086,0.295659040564397,0.767490480274682,0.0212033391232436,0.767490480274682,0.943589336607516,"Snrpb",0.0101153508700303
"Abracl",154.763373138901,0.0331147198716552,0.112019000623912,0.295616990753499,0.767522596540288,0.0331147198716552,0.767522596540288,0.943589336607516,"Abracl",0.00904881532780044
"Nmnat1",67.5310333166192,-0.0494897701048064,0.167522602647888,-0.295421449539127,0.767671949746704,-0.0494897701048064,0.767671949746704,0.943676696613669,"Nmnat1",-0.00703205321576394
"Wbp11",616.866255593315,0.0198189038397188,0.0671789000301605,0.295016795910932,0.767981049155994,0.0198189038397188,0.767981049155994,0.943913877880583,"Wbp11",0.0101610948617979
"Gm26881",86.8223980855334,-0.0422313369684226,0.143174636203561,-0.294963815437109,0.768021521643979,-0.0422313369684226,0.768021521643979,0.943913877880583,"Gm26881",-0.00779594547674532
"Gm44645",15.6181382943452,-0.0962118939881127,0.326347650281264,-0.294814115882838,0.768135882540788,-0.0962118939881127,0.768135882540788,0.943958176209637,"Gm44645",-0.00400198610581247
"Palb2",9.57246735190388,-0.124918469289123,0.423792378132299,-0.29476336936415,0.76817465078503,-0.124918469289123,0.76817465078503,NA,"Palb2",-0.00314562645164316
"Cbx8",190.488183391064,0.0294495018579864,0.0999680095489457,0.29458925901258,0.76830766830967,0.0294495018579864,0.76830766830967,0.94399654377834,"Cbx8",0.0094159909609244
"Atf1",240.986763804742,0.0266690511282919,0.0905360782494492,0.294568216825253,0.768323744666516,0.0266690511282919,0.768323744666516,0.94399654377834,"Atf1",0.00972101448573529
